county_fips,county_name,total_population,median_household_income,poverty_rate,unemployment_rate,bachelors_or_higher_pct,homeownership_rate,renter_rate
01001,"Autauga County, Alabama",59947,72481.0,0.1128950907868191,0.023950977095243433,0.291384808658678,0.7706069729894838,0.2293930270105162
01003,"Baldwin County, Alabama",246989,78775.0,0.10092700217272552,0.030273362675906457,0.3368950841083613,0.7760362773145049,0.22396372268549516
01005,"Barbour County, Alabama",24643,46042.0,0.21382569614974747,0.07789541918755402,0.10627306273062731,0.6824057843996494,0.31759421560035056
01007,"Bibb County, Alabama",22130,52541.0,0.22457048028114018,0.12080759046778464,0.11725649859066709,0.7917964693665628,0.2082035306334372
01009,"Blount County, Alabama",59518,64190.0,0.1286010327490148,0.049985395063531474,0.15818234808374218,0.8098286744815149,0.19017132551848512
01011,"Bullock County, Alabama",10058,31310.0,0.3327224831061734,0.07218621096051857,0.08116659788141423,0.6664859002169198,0.3335140997830803
01013,"Butler County, Alabama",18630,44755.0,0.22414451781913441,0.06472032037204496,0.13538884224986644,0.6584177964986179,0.34158220350138213
01015,"Calhoun County, Alabama",116090,55029.0,0.17890989948982794,0.05974573855538453,0.2064954259358357,0.7031878262801289,0.2968121737198712
01017,"Chambers County, Alabama",34192,49656.0,0.15744782634694732,0.051395687260219605,0.14907983037589032,0.7178055679618878,0.28219443203811223
01019,"Cherokee County, Alabama",25443,53863.0,0.14754816112084063,0.038816295157571096,0.1649929018350071,0.8108320251177394,0.1891679748822606
01021,"Chilton County, Alabama",45992,65603.0,0.14022603599832567,0.05467278435160589,0.16468885672937772,0.7685594405594406,0.23144055944055944
01023,"Choctaw County, Alabama",12380,47813.0,0.1649114213405176,0.050347932869422844,0.15761412862379207,0.8237868696479543,0.17621313035204567
01025,"Clarke County, Alabama",22543,49249.0,0.20056713327631995,0.09187202766969305,0.149741063534167,0.7078238157426096,0.2921761842573905
01027,"Clay County, Alabama",14192,55250.0,0.17554881571346043,0.024034017378443333,0.14714215925744992,0.7943298969072164,0.2056701030927835
01029,"Cleburne County, Alabama",15426,55345.0,0.13679523279418507,0.025711960943856794,0.16992276238073603,0.7854515050167225,0.2145484949832776
01031,"Coffee County, Alabama",54920,68353.0,0.16711685044031674,0.05088639417450479,0.22484318876320164,0.7225981700343118,0.27740182996568813
01033,"Colbert County, Alabama",58022,60628.0,0.1736275602619479,0.031361209964412814,0.2165529300337567,0.7128513229908234,0.28714867700917657
01035,"Conecuh County, Alabama",11275,41327.0,0.278494623655914,0.08695652173913043,0.13418411597075952,0.7432646592709984,0.25673534072900156
01037,"Coosa County, Alabama",10300,57355.0,0.13125750901081298,0.06203234371228578,0.13859356987319071,0.8157537347215935,0.1842462652784065
01039,"Covington County, Alabama",37628,52456.0,0.19186895172190085,0.051704400915797505,0.17169347209082308,0.762737330965715,0.23726266903428495
01041,"Crenshaw County, Alabama",13122,48560.0,0.17898742040689547,0.054163596168017684,0.18712295711308544,0.7320848461685457,0.26791515383145426
01043,"Cullman County, Alabama",90566,62656.0,0.1531329495247021,0.037728233254980176,0.19690716759167023,0.7663450929357513,0.23365490706424874
01045,"Dale County, Alabama",49599,54963.0,0.18719586062460217,0.06596044460679434,0.2039772896168366,0.6189486490596644,0.3810513509403356
01047,"Dallas County, Alabama",36858,35627.0,0.310388328214129,0.10954688318491357,0.17484906259930091,0.6382391672414874,0.36176083275851256
01049,"DeKalb County, Alabama",72269,51204.0,0.2235726041271047,0.0413583760197306,0.1408141491238869,0.7826286238111607,0.21737137618883923
01051,"Elmore County, Alabama",89526,78243.0,0.10316835637841712,0.04645625175086376,0.25391398811425653,0.7697224251278305,0.23027757487216946
01053,"Escambia County, Alabama",36629,48225.0,0.20020570085218925,0.10052719000505525,0.13527323789835005,0.7094784509681449,0.29052154903185506
01055,"Etowah County, Alabama",103105,54563.0,0.1693653836700585,0.0590336775149218,0.18086119120873057,0.7390829971327801,0.2609170028672198
01057,"Fayette County, Alabama",16053,49488.0,0.21807366156182761,0.0843585237258348,0.1485235786690172,0.7841726618705036,0.2158273381294964
01059,"Franklin County, Alabama",31966,53338.0,0.19138755980861244,0.03632252137658116,0.15836039343027908,0.7236908147900284,0.27630918520997155
01061,"Geneva County, Alabama",26887,52771.0,0.19178596926314206,0.05626381098079211,0.13244859420898028,0.7810650887573964,0.21893491124260356
01063,"Greene County, Alabama",7424,29200.0,0.4013883217639853,0.040366208905534745,0.15127357573400738,0.6161240310077519,0.3838759689922481
01065,"Hale County, Alabama",14829,39250.0,0.24584899214212505,0.05998225377107365,0.17586952249950874,0.7438851471109535,0.25611485288904645
01067,"Henry County, Alabama",17647,59931.0,0.1834910013844024,0.03613699320070511,0.21818888457054023,0.794958935145851,0.20504106485414897
01069,"Houston County, Alabama",108140,58626.0,0.17511425981138953,0.045035224772401544,0.23047479327820752,0.6379382014687544,0.36206179853124565
01071,"Jackson County, Alabama",53053,51908.0,0.1725925217557617,0.04466211358734723,0.15922258506267775,0.7512732278045423,0.24872677219545766
01073,"Jefferson County, Alabama",667755,66388.0,0.15704486754482985,0.04725463175623947,0.36222427748726926,0.638865730705528,0.36113426929447207
